,Country,Code,Year,Population
253,British Virgin Islands,VGB,2004,22334.0
254,Virgin Islands (U.S.),VIR,2004,108467.0
255,Vietnam,VNM,2004,83062821.0
256,Vanuatu,VUT,2004,204127.0
257,World,WLD,2004,6431551644.0
258,Samoa,WSM,2004,178590.0
259,Kosovo,XKX,2004,1704622.0
260,"Yemen, Rep.",YEM,2004,19540098.0
261,South Africa,ZAF,2004,47291610.0
262,Zambia,ZMB,2004,11550642.0
263,Zimbabwe,ZWE,2004,12019912.0
264,Aruba,ABW,2005,100031.0
265,Afghanistan,AFG,2005,25654277.0
266,Angola,AGO,2005,19433602.0
267,Albania,ALB,2005,3011487.0
268,Andorra,AND,2005,78867.0
269,Arab World,ARB,2005,314965793.0
270,United Arab Emirates,ARE,2005,4588225.0
271,Argentina,ARG,2005,38892931.0
272,Armenia,ARM,2005,2981269.0
273,American Samoa,ASM,2005,59562.0
274,Antigua and Barbuda,ATG,2005,81465.0
275,Australia,AUS,2005,20394800.0
276,Austria,AUT,2005,8227829.0
277,Azerbaijan,AZE,2005,8391850.0
278,Burundi,BDI,2005,7364862.0
279,Belgium,BEL,2005,10478617.0
280,Benin,BEN,2005,7982225.0
281,Burkina Faso,BFA,2005,13421930.0
282,Bangladesh,BGD,2005,139035505.0
283,Bulgaria,BGR,2005,7658972.0
284,Bahrain,BHR,2005,889164.0
285,"Bahamas, The",BHS,2005,324859.0
286,Bosnia and Herzegovina,BIH,2005,3765331.0
287,Belarus,BLR,2005,9663915.0
288,Belize,BLZ,2005,283800.0
289,Bermuda,BMU,2005,64154.0
290,Bolivia,BOL,2005,9232306.0
291,Brazil,BRA,2005,186127103.0
292,Barbados,BRB,2005,276323.0
293,Brunei Darussalam,BRN,2005,365114.0
294,Bhutan,BTN,2005,648739.0
295,Botswana,BWA,2005,1799078.0
296,Central African Republic,CAF,2005,4038382.0
297,Canada,CAN,2005,32243753.0
298,Central Europe and the Baltics,CEB,2005,106041911.0
299,Switzerland,CHE,2005,7437115.0
300,Channel Islands,CHI,2005,151678.0
301,Chile,CHL,2005,16182721.0
302,China,CHN,2005,1303720000.0
303,Cote d'Ivoire,CIV,2005,18354514.0
304,Cameroon,CMR,2005,17733410.0
305,"Congo, Dem. Rep.",COD,2005,54785903.0
306,"Congo, Rep.",COG,2005,3622775.0
307,Colombia,COL,2005,42647723.0
308,Comoros,COM,2005,611627.0
309,Cabo Verde,CPV,2005,463032.0
310,Costa Rica,CRI,2005,4285502.0
311,Caribbean small states,CSS,2005,6742717.0
312,Cuba,CUB,2005,11261582.0
313,Curacao,CUW,2005,137658.0
314,Cayman Islands,CYM,2005,49261.0
315,Cyprus,CYP,2005,1027662.0
316,Czech Republic,CZE,2005,10211216.0
317,Germany,DEU,2005,82469422.0
318,Djibouti,DJI,2005,783254.0
319,Dominica,DMA,2005,70589.0
320,Denmark,DNK,2005,5419432.0
321,Dominican Republic,DOM,2005,9097257.0
322,Algeria,DZA,2005,33149724.0
323,East Asia & Pacific (excluding high income),EAP,2005,1895275474.0
324,Early-demographic dividend,EAR,2005,2689792049.0
325,East Asia & Pacific,EAS,2005,2131146832.0
326,Europe & Central Asia (excluding high income),ECA,2005,370632537.0
327,Europe & Central Asia,ECS,2005,871456632.0
328,Ecuador,ECU,2005,13825847.0
329,"Egypt, Arab Rep.",EGY,2005,75523569.0
330,Euro area,EMU,2005,329380417.0
331,Eritrea,ERI,2005,2826659.0
332,Spain,ESP,2005,43653155.0
333,Estonia,EST,2005,1354775.0
334,Ethiopia,ETH,2005,76346311.0
335,European Union,EUU,2005,435581949.0
336,Fragile and conflict affected situations,FCS,2005,546253003.0
337,Finland,FIN,2005,5246096.0
338,Fiji,FJI,2005,821604.0
339,France,FRA,2005,63179351.0
340,Faroe Islands,FRO,2005,47722.0
341,"Micronesia, Fed. Sts.",FSM,2005,106129.0
342,Gabon,GAB,2005,1390549.0
343,United Kingdom,GBR,2005,60401206.0
344,Georgia,GEO,2005,3902469.0
345,Ghana,GHA,2005,21814642.0
346,Gibraltar,GIB,2005,33219.0
347,Guinea,GIN,2005,9109581.0
348,"Gambia, The",GMB,2005,1543741.0
349,Guinea-Bissau,GNB,2005,1344930.0
350,Equatorial Guinea,GNQ,2005,749535.0
351,Greece,GRC,2005,10987314.0
352,Grenada,GRD,2005,104661.0
353,Greenland,GRL,2005,56935.0
354,Guatemala,GTM,2005,12948292.0
355,Guam,GUM,2005,158402.0
356,Guyana,GUY,2005,746163.0
357,High income,HIC,2005,1137301501.0
358,"Hong Kong SAR, China",HKG,2005,6813200.0
359,Honduras,HND,2005,7458985.0
360,Heavily indebted poor countries (HIPC),HPC,2005,543555326.0
361,Croatia,HRV,2005,4310145.0
362,Haiti,HTI,2005,9195288.0
363,Hungary,HUN,2005,10087065.0
364,IBRD only,IBD,2005,4210325712.0
365,IDA & IBRD total,IBT,2005,5425296741.0
366,IDA total,IDA,2005,1214971029.0
367,IDA blend,IDB,2005,404615758.0
368,Indonesia,IDN,2005,226289470.0
369,IDA only,IDX,2005,810355271.0
370,Isle of Man,IMN,2005,80305.0
371,India,IND,2005,1147609927.0
372,Not classified,INX,2005,
373,Ireland,IRL,2005,4159914.0
374,"Iran, Islamic Rep.",IRN,2005,69762347.0
375,Iraq,IRQ,2005,26922284.0
376,Iceland,ISL,2005,296734.0
377,Israel,ISR,2005,6930100.0
378,Italy,ITA,2005,57969484.0
379,Jamaica,JAM,2005,2740003.0
380,Jordan,JOR,2005,5765635.0
381,Japan,JPN,2005,127773000.0
382,Kazakhstan,KAZ,2005,15147029.0
383,Kenya,KEN,2005,36624895.0
384,Kyrgyz Republic,KGZ,2005,5162600.0
385,Cambodia,KHM,2005,13273354.0
386,Kiribati,KIR,2005,92325.0
387,St. Kitts and Nevis,KNA,2005,46857.0
388,"Korea, Rep.",KOR,2005,48184561.0
389,Kuwait,KWT,2005,2270198.0
390,Latin America & Caribbean (excluding high income),LAC,2005,527308231.0
391,Lao PDR,LAO,2005,5751676.0
392,Lebanon,LBN,2005,4698763.0
393,Liberia,LBR,2005,3218116.0
394,Libya,LBY,2005,5798614.0
395,St. Lucia,LCA,2005,163417.0
396,Latin America & Caribbean,LCN,2005,556504290.0
397,Least developed countries: UN classification,LDC,2005,744190510.0
398,Low income,LIC,2005,462679645.0
399,Liechtenstein,LIE,2005,34713.0
400,Sri Lanka,LKA,2005,19544988.0
401,Lower middle income,LMC,2005,2349947388.0
402,Low & middle income,LMY,2005,5374446866.0
403,Lesotho,LSO,2005,1996114.0
404,Late-demographic dividend,LTE,2005,2114307497.0
405,Lithuania,LTU,2005,3322528.0
406,Luxembourg,LUX,2005,465158.0
407,Latvia,LVA,2005,2238799.0
408,"Macao SAR, China",MAC,2005,482858.0
409,St. Martin (French part),MAF,2005,34248.0
410,Morocco,MAR,2005,30455561.0
411,Monaco,MCO,2005,33843.0
412,Moldova,MDA,2005,2888111.0
413,Madagascar,MDG,2005,18336724.0
414,Maldives,MDV,2005,319608.0
415,Middle East & North Africa,MEA,2005,347029874.0
416,Mexico,MEX,2005,106005203.0
417,Marshall Islands,MHL,2005,55258.0
418,Middle income,MIC,2005,4911767221.0
419,North Macedonia,MKD,2005,2060273.0
420,Mali,MLI,2005,12775516.0
421,Malta,MLT,2005,403834.0
422,Myanmar,MMR,2005,48949924.0
423,Middle East & North Africa (excluding high income),MNA,2005,304755503.0
424,Montenegro,MNE,2005,614261.0
425,Mongolia,MNG,2005,2526424.0
426,Northern Mariana Islands,MNP,2005,56542.0
427,Mozambique,MOZ,2005,20493925.0
428,Mauritania,MRT,2005,3024194.0
429,Mauritius,MUS,2005,1228254.0
430,Malawi,MWI,2005,12625952.0
431,Malaysia,MYS,2005,25690611.0
432,North America,NAC,2005,327824506.0
433,Namibia,NAM,2005,1938320.0
434,New Caledonia,NCL,2005,232250.0
435,Niger,NER,2005,13624467.0
436,Nigeria,NGA,2005,138865016.0
437,Nicaragua,NIC,2005,5438690.0
438,Netherlands,NLD,2005,16319868.0
439,Norway,NOR,2005,4623291.0
440,Nepal,NPL,2005,25744500.0
441,Nauru,NRU,2005,9849.0
442,New Zealand,NZL,2005,4133900.0
443,OECD members,OED,2005,1241535826.0
444,Oman,OMN,2005,2511251.0
445,Other small states,OSS,2005,22929109.0
446,Pakistan,PAK,2005,160304008.0
447,Panama,PAN,2005,3330217.0
448,Peru,PER,2005,27866145.0
449,Philippines,PHL,2005,86326250.0
450,Palau,PLW,2005,19781.0
451,Papua New Guinea,PNG,2005,6494903.0
452,Poland,POL,2005,38165445.0
453,Pre-demographic dividend,PRE,2005,635451653.0
454,Puerto Rico,PRI,2005,3821362.0
455,"Korea, Dem. People’s Rep.",PRK,2005,23904167.0
456,Portugal,PRT,2005,10503330.0
457,Paraguay,PRY,2005,5824096.0
458,West Bank and Gaza,PSE,2005,3320396.0
459,Pacific island small states,PSS,2005,2074778.0
460,Post-demographic dividend,PST,2005,1046366694.0
461,French Polynesia,PYF,2005,258780.0
462,Qatar,QAT,2005,865416.0
463,Romania,ROU,2005,21319685.0
464,Russian Federation,RUS,2005,143518814.0
465,Rwanda,RWA,2005,8840215.0
466,South Asia,SAS,2005,1518861552.0
467,Saudi Arabia,SAU,2005,23816183.0
468,Sudan,SDN,2005,30949516.0
469,Senegal,SEN,2005,11090116.0
470,Singapore,SGP,2005,4265762.0
471,Solomon Islands,SLB,2005,469918.0
472,Sierra Leone,SLE,2005,5645624.0
473,El Salvador,SLV,2005,6052123.0
474,San Marino,SMR,2005,29324.0
475,Somalia,SOM,2005,10446863.0
476,Serbia,SRB,2005,7440769.0
477,Sub-Saharan Africa (excluding high income),SSA,2005,757613569.0
478,South Sudan,SSD,2005,7535932.0
479,Sub-Saharan Africa,SSF,2005,758924681.0
480,Small states,SST,2005,31746604.0
481,Sao Tome and Principe,STP,2005,157472.0
482,Suriname,SUR,2005,499464.0
483,Slovak Republic,SVK,2005,5372807.0
484,Slovenia,SVN,2005,2000474.0
485,Sweden,SWE,2005,9029572.0
486,Eswatini,SWZ,2005,1030579.0
487,Sint Maarten (Dutch part),SXM,2005,33011.0
488,Seychelles,SYC,2005,82858.0
489,Syrian Arab Republic,SYR,2005,18361176.0
490,Turks and Caicos Islands,TCA,2005,28180.0
491,Chad,TCD,2005,10096633.0
492,East Asia & Pacific (IDA & IBRD countries),TEA,2005,1871341375.0
493,Europe & Central Asia (IDA & IBRD countries),TEC,2005,434427812.0
494,Togo,TGO,2005,5611640.0
495,Thailand,THA,2005,65416189.0
496,Tajikistan,TJK,2005,6789321.0
497,Turkmenistan,TKM,2005,4754646.0
498,Latin America & the Caribbean (IDA & IBRD countries),TLA,2005,540306214.0
499,Timor-Leste,TLS,2005,995135.0
500,Middle East & North Africa (IDA & IBRD countries),TMN,2005,301435107.0
501,Tonga,TON,2005,100905.0
502,South Asia (IDA & IBRD),TSA,2005,1518861552.0
503,Sub-Saharan Africa (IDA & IBRD countries),TSS,2005,758924681.0
504,Trinidad and Tobago,TTO,2005,1296502.0
505,Tunisia,TUN,2005,10106771.0
506,Turkey,TUR,2005,67903469.0
507,Tuvalu,TUV,2005,10000.0
508,Tanzania,TZA,2005,38450320.0
509,Uganda,UGA,2005,27684585.0
510,Ukraine,UKR,2005,47105171.0
511,Upper middle income,UMC,2005,2561819833.0
512,Uruguay,URY,2005,3321803.0
513,United States,USA,2005,295516599.0
514,Uzbekistan,UZB,2005,26167000.0
515,St. Vincent and the Grenadines,VCT,2005,108614.0
516,"Venezuela, RB",VEN,2005,26432447.0
517,British Virgin Islands,VGB,2005,23107.0
518,Virgin Islands (U.S.),VIR,2005,108454.0
519,Vietnam,VNM,2005,83832661.0
520,Vanuatu,VUT,2005,209282.0
521,World,WLD,2005,6511748367.0
522,Samoa,WSM,2005,179727.0
523,Kosovo,XKX,2005,1705780.0
524,"Yemen, Rep.",YEM,2005,20107409.0
525,South Africa,ZAF,2005,47880601.0
526,Zambia,ZMB,2005,11856247.0
527,Zimbabwe,ZWE,2005,12076699.0
528,Aruba,ABW,2006,100834.0
529,Afghanistan,AFG,2006,26433049.0
530,Angola,AGO,2006,20149901.0
531,Albania,ALB,2006,2992547.0
532,Andorra,AND,2006,80993.0
533,Arab World,ARB,2006,322452754.0
534,United Arab Emirates,ARE,2006,5300174.0
535,Argentina,ARG,2006,39289878.0
536,Armenia,ARM,2006,2958307.0
537,American Samoa,ASM,2006,59107.0
538,Antigua and Barbuda,ATG,2006,82704.0
539,Australia,AUS,2006,20697900.0
540,Austria,AUT,2006,8268641.0
541,Azerbaijan,AZE,2006,8484550.0
542,Burundi,BDI,2006,7607849.0
543,Belgium,BEL,2006,10547958.0
544,Benin,BEN,2006,8216897.0
545,Burkina Faso,BFA,2006,13829176.0
546,Bangladesh,BGD,2006,140921167.0
547,Bulgaria,BGR,2006,7601022.0
548,Bahrain,BHR,2006,958418.0
549,"Bahamas, The",BHS,2006,331033.0
550,Bosnia and Herzegovina,BIH,2006,3765424.0
551,Belarus,BLR,2006,9604924.0
552,Belize,BLZ,2006,291329.0
553,Bermuda,BMU,2006,64523.0
554,Bolivia,BOL,2006,9395446.0
555,Brazil,BRA,2006,188167356.0
556,Barbados,BRB,2006,277477.0
557,Brunei Darussalam,BRN,2006,370263.0
558,Bhutan,BTN,2006,657410.0
559,Botswana,BWA,2006,1835908.0
560,Central African Republic,CAF,2006,4118069.0
561,Canada,CAN,2006,32571174.0
562,Central Europe and the Baltics,CEB,2006,105772481.0
563,Switzerland,CHE,2006,7483934.0
564,Channel Islands,CHI,2006,153008.0
565,Chile,CHL,2006,16354504.0
566,China,CHN,2006,1311020000.0
567,Cote d'Ivoire,CIV,2006,18754916.0
568,Cameroon,CMR,2006,18223674.0
569,"Congo, Dem. Rep.",COD,2006,56578037.0
570,"Congo, Rep.",COG,2006,3745141.0
571,Colombia,COL,2006,43200897.0
572,Comoros,COM,2006,626425.0
573,Cabo Verde,CPV,2006,469170.0
574,Costa Rica,CRI,2006,4345412.0
575,Caribbean small states,CSS,2006,6788123.0
576,Cuba,CUB,2006,11261248.0
577,Curacao,CUW,2006,141239.0
578,Cayman Islands,CYM,2006,50740.0
579,Cyprus,CYP,2006,1045507.0
580,Czech Republic,CZE,2006,10238905.0
581,Germany,DEU,2006,82376451.0
582,Djibouti,DJI,2006,794563.0
583,Dominica,DMA,2006,70718.0
584,Denmark,DNK,2006,5437272.0
585,Dominican Republic,DOM,2006,9218686.0
586,Algeria,DZA,2006,33641002.0
587,East Asia & Pacific (excluding high income),EAP,2006,1909891462.0
588,Early-demographic dividend,EAR,2006,2733278836.0
589,East Asia & Pacific,EAS,2006,2146744075.0
590,Europe & Central Asia (excluding high income),ECA,2006,371318140.0
591,Europe & Central Asia,ECS,2006,874157201.0
592,Ecuador,ECU,2006,14059384.0
593,"Egypt, Arab Rep.",EGY,2006,76873663.0
594,Euro area,EMU,2006,330922789.0
595,Eritrea,ERI,2006,2918205.0
596,Spain,ESP,2006,44397319.0
597,Estonia,EST,2006,1346810.0
598,Ethiopia,ETH,2006,78489206.0
599,European Union,EUU,2006,436998049.0
600,Fragile and conflict affected situations,FCS,2006,560082826.0
601,Finland,FIN,2006,5266268.0
602,Fiji,FJI,2006,827870.0
603,France,FRA,2006,63621381.0
604,Faroe Islands,FRO,2006,47792.0
605,"Micronesia, Fed. Sts.",FSM,2006,105371.0
606,Gabon,GAB,2006,1430152.0
607,United Kingdom,GBR,2006,60846820.0
608,Georgia,GEO,2006,3880347.0
609,Ghana,GHA,2006,22379055.0
610,Gibraltar,GIB,2006,33417.0
611,Guinea,GIN,2006,9307425.0
612,"Gambia, The",GMB,2006,1591445.0
613,Guinea-Bissau,GNB,2006,1377581.0
614,Equatorial Guinea,GNQ,2006,784496.0
615,Greece,GRC,2006,11020362.0
616,Grenada,GRD,2006,104933.0
617,Greenland,GRL,2006,56774.0
618,Guatemala,GTM,2006,13213330.0
619,Guam,GUM,2006,158648.0
620,Guyana,GUY,2006,746343.0
621,High income,HIC,2006,1145660105.0
622,"Hong Kong SAR, China",HKG,2006,6857100.0
623,Honduras,HND,2006,7634298.0
624,Heavily indebted poor countries (HIPC),HPC,2006,558909236.0
625,Croatia,HRV,2006,4311159.0
626,Haiti,HTI,2006,9344785.0
627,Hungary,HUN,2006,10071370.0
628,IBRD only,IBD,2006,4253873152.0
629,IDA & IBRD total,IBT,2006,5497791209.0
630,IDA total,IDA,2006,1243918057.0
631,IDA blend,IDB,2006,414232526.0
632,Indonesia,IDN,2006,229318262.0
633,IDA only,IDX,2006,829685531.0
634,Isle of Man,IMN,2006,81285.0
635,India,IND,2006,1165486291.0
636,Not classified,INX,2006,
637,Ireland,IRL,2006,4273591.0
638,"Iran, Islamic Rep.",IRN,2006,70554760.0
